DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
29-05-2015,162.1,164.5,162.1,162.65,43295,1145
28-05-2015,163.3,165,161.5,162.1,39481,923
27-05-2015,164.5,165,162.3,162.6,45849,1274
26-05-2015,168.25,168.25,165,165.65,31907,937
25-05-2015,170.05,171.1,166.9,167.5,59118,1534
22-05-2015,170,170.45,166,166.85,65071,1500
21-05-2015,170.25,172.5,167,169.15,72588,1889
20-05-2015,170.3,173.15,169,169.55,90546,2345
19-05-2015,170.2,171.3,168,169.4,66240,1762
18-05-2015,168,172.4,166.65,169.2,68018,2105
15-05-2015,166.05,174,166,168.3,223426,5676
14-05-2015,166,167.35,163.3,165.05,67758,1933
13-05-2015,163.3,168,162,164.9,115208,2431
12-05-2015,168.1,168.95,161.6,162.05,53704,1360
11-05-2015,166.05,169,165.5,167.65,58898,1716
08-05-2015,165,168.4,164.3,165.2,72772,3661
07-05-2015,168.8,168.85,159,162.5,72675,3632
06-05-2015,173,174.3,167.8,169,81866,3951
05-05-2015,172,175,171.4,173,107962,5262
04-05-2015,173,176.5,169.45,172.2,116553,7230
30-04-2015,166,180.8,164.4,172.25,229036,12527
29-04-2015,165,169,162.5,166.35,98573,5264
28-04-2015,165.25,167.5,161.95,164,86122,4236
27-04-2015,172.75,172.75,163.4,163.85,82961,3918
24-04-2015,177.75,179,170.05,170.9,84596,3607
23-04-2015,181,182,176.4,177.15,75688,3335
22-04-2015,178.4,186.7,178.1,179.95,153414,7306
21-04-2015,178.3,182.2,176.2,177.25,109742,5486
20-04-2015,185.95,186.95,178,179.2,98853,4378
17-04-2015,189,192,185.2,185.95,106702,5028
16-04-2015,194.3,196.25,186.3,188.35,122702,5489
15-04-2015,193.25,198.55,191,192.45,122600,5739
13-04-2015,194.6,199.5,192.25,192.9,180381,8032
10-04-2015,195.2,199.95,193.1,194.1,164654,8020
09-04-2015,197.1,199.85,192.5,194.35,139330,6189
08-04-2015,193.05,203,193.05,197.05,377829,15321
07-04-2015,189.5,205.8,186.6,192.7,497127,20324
06-04-2015,192,192.55,186.65,187.55,107977,5705
01-04-2015,189.9,198,186.05,190.8,415004,19356
31-03-2015,173.4,199,170.1,191.75,1177766,41023
30-03-2015,168.5,172.8,167.3,169.4,135156,5816
27-03-2015,179,179,165,165.9,139308,5794
26-03-2015,177.4,181,171.15,172.75,101414,4579
25-03-2015,179.9,182.45,176,178.1,124710,6120
24-03-2015,187.4,188.85,178.6,179.25,122547,5571
23-03-2015,188.7,193.6,186,186.8,170485,7022
20-03-2015,193.4,201,184.75,187.05,299643,13066
19-03-2015,193.85,202.05,188.1,191.3,300166,13064
18-03-2015,190,199.1,183.6,190.65,413347,17702
17-03-2015,182.3,197.1,173.7,190.35,457226,19041
16-03-2015,188.3,188.9,179.8,181,108731,4980
13-03-2015,194.5,196.8,186.5,187.15,154840,6125
12-03-2015,195,198.8,192.8,193.75,237915,9222
11-03-2015,201.75,203,193.3,194.45,154563,6393
10-03-2015,204,209.8,198,201.05,201152,9050
09-03-2015,198,215,196.25,202.3,438620,18408
05-03-2015,201.9,205.5,196.25,198.7,269314,11850
04-03-2015,203,209,196.15,199.2,578970,25522
03-03-2015,218.1,222.4,202.3,205.3,1584270,55584
02-03-2015,179.1,214.4,178.25,214.4,1425656,48455
28-02-2015,174.3,184.7,173.1,178.7,501777,19146
27-02-2015,173,176.3,171.9,173,96175,3611
26-02-2015,176.2,178.9,171.8,172.5,75005,3226
25-02-2015,180.05,182.25,175.35,175.85,102360,3998
24-02-2015,181.15,182.55,177.1,178.55,70712,3099
23-02-2015,181.3,186.8,180.05,181.1,161388,6455
20-02-2015,180.85,184.6,179.1,180.05,94861,3385
19-02-2015,182.4,184,178.6,179.95,85896,3186
18-02-2015,183.25,185.75,181.25,182.35,104076,4544
16-02-2015,178.3,187.3,177.05,182.55,198851,8580
13-02-2015,180,181.5,176.5,176.85,89988,3752
12-02-2015,177,186.8,176,180.05,199141,8958
11-02-2015,174.3,181,173.6,178.85,124399,5217
10-02-2015,176.5,179.2,172.55,173.5,83523,3320
06-02-2015,196,196.3,175.8,181.95,336311,12434
05-02-2015,200.8,204.7,195.5,196.8,160419,6064
04-02-2015,200.5,206,197.2,197.9,199623,6167
03-02-2015,202.1,203.95,198,199.15,102139,3506
02-02-2015,202,205.45,201.1,201.75,104761,3685
30-01-2015,197.9,210,197.15,201.5,350618,13572
29-01-2015,197,200.85,194.45,195.65,127152,5162
28-01-2015,195.25,202,193.35,195.8,140010,6542
27-01-2015,197.45,199.9,194.2,195.45,83336,3818
23-01-2015,203,204.05,195.6,196.75,119464,5173
22-01-2015,202.5,205,201,201.55,81460,2926
21-01-2015,206.6,207.7,202,202.7,87642,2808
20-01-2015,204.9,210.7,204.05,205.6,213770,7590
19-01-2015,203.25,207.95,203.25,204.05,87795,3176
16-01-2015,204.55,206.5,201.75,202.25,81272,3551
15-01-2015,202.55,207.8,202.55,204.2,85564,2993
14-01-2015,205.7,208,201.15,203.3,85070,3360
13-01-2015,206.4,208,203.5,204.7,71071,2860
12-01-2015,204.45,210.45,203.9,205.75,115869,5199
09-01-2015,207.8,212.3,202.5,204.3,154444,6472
08-01-2015,207,210.05,205.7,206.95,106272,4385
07-01-2015,206.5,210,202,205.2,208852,7711
06-01-2015,209.45,209.45,201,202.35,125074,4926
05-01-2015,210.3,213.95,209.5,210.35,136956,5158
02-01-2015,213.45,218.6,208.6,210.45,287530,11142
01-01-2015,202.5,214.85,202.5,212.05,296706,10225
31-12-2014,203.9,206.8,202.4,203,122815,4260
29-12-2014,206.15,211.2,205.1,206.4,172005,7233
26-12-2014,203.5,212,201,205.85,301483,10855
24-12-2014,206.7,209.5,199.75,202.15,128787,5666
23-12-2014,210.8,214,204,205.1,159294,6258
22-12-2014,204,213.4,203.2,208.5,259999,11628
19-12-2014,194.3,222.7,194.3,203.55,670212,27571
18-12-2014,190.4,199,190.4,193.8,150045,6253
17-12-2014,190,195.5,182.9,187.7,166514,6907
16-12-2014,203.1,205.4,190,192.2,164780,6338
15-12-2014,207.2,214,204,205.2,153570,6126
12-12-2014,215,216.8,208,209.05,148016,6276
11-12-2014,214.3,220,210.8,211.7,248520,9729
10-12-2014,207.6,221,207.6,213.85,362469,15862
09-12-2014,225,225.3,206.15,208.25,325629,12253
08-12-2014,222.05,231.3,221.25,223.85,222858,9579
05-12-2014,227.9,233,219.55,222,386657,14466
04-12-2014,229.4,239,225.4,228.2,870227,30133
03-12-2014,186,225.3,186,213.65,693150,17390
02-12-2014,182.5,192,181.1,187.75,184199,7551
01-12-2014,182.5,186.9,182,184.15,73507,2956
28-11-2014,187.15,188.75,182.5,183.2,113254,3956
27-11-2014,190,190.9,183.25,185.65,106620,4425
26-11-2014,187.15,194.5,187.15,189.05,318331,11352
25-11-2014,183.6,186,178.5,180.85,99966,3726
24-11-2014,190,190.85,178.05,185.45,102881,3971
21-11-2014,191.05,194.85,186.75,188.3,320657,11281
20-11-2014,185.1,187.4,182.7,184.15,93394,3556
19-11-2014,190,192.9,186.5,187.55,131735,5019
18-11-2014,186.5,194.5,186.5,189.9,319341,11596
17-11-2014,184,189.9,180.05,182.05,241747,10532
14-11-2014,190,191.05,175.9,185.4,175026,8000
13-11-2014,193.1,196.5,182.4,189.25,269702,10387
12-11-2014,187.15,196.8,185.65,190.9,431002,14511
11-11-2014,190,191.85,187,187.95,161023,5906
10-11-2014,190,193.75,187,189.75,324339,11654
07-11-2014,184.8,186.95,181.1,182.65,303813,10232
05-11-2014,181,183.9,176.6,179.6,343896,11661
03-11-2014,175.1,183.7,175.1,180.3,349337,12028
31-10-2014,180,182.75,172.4,174.6,327841,11283
30-10-2014,185,185.65,178.35,179.6,215068,7874
29-10-2014,186.9,191.4,181.1,182.3,279507,10215
28-10-2014,186,195,179.45,184.15,557700,18042
27-10-2014,199,205.85,184.5,186.9,900151,29641
23-10-2014,183.2,198.4,183.2,196,649338,20533
22-10-2014,135.75,187.5,135.75,179.9,4591744,140714
21-10-2014,213.4,217.5,169.65,169.65,416660,13091
20-10-2014,214.1,218.5,210.85,212.05,80780,3582
17-10-2014,212,217.5,210,210.95,142077,6620
16-10-2014,218.95,229.4,208,211.2,284921,12012
